title,year,downloads,torrent_url,poster_url,description,genre
CUKESIM's New Job! ( Charles Chaplin-1915),0,4557689,https://archive.org/download/HisNewJobCharlesChaplin-1915/HisNewJobCharlesChaplin-1915_archive.torrent,https://archive.org/services/img/HisNewJobCharlesChaplin-1915,No description.,
Charlie Chaplin Festival,1938,1499605,https://archive.org/download/charlie_chaplin_film_fest/charlie_chaplin_film_fest_archive.torrent,https://archive.org/services/img/charlie_chaplin_film_fest,"Four Chaplin shorts from 1917: The Adventurer, The Cure, Easy Street and The Immigrant, presented with music and sound effects. You can find more information regarding this film on its IMDb page .",Comedy
The Fast And The Furious,1955,1473318,https://archive.org/download/TheFastandtheFuriousJohnIreland1954goofyrip/TheFastandtheFuriousJohnIreland1954goofyrip_archive.torrent,https://archive.org/services/img/TheFastandtheFuriousJohnIreland1954goofyrip,"http://imdb.com/title/tt0046969/ A man wrongly imprisoned for murder (John Ireland) breaks out of jail. He wants to clear his name, but with the police pursuing him, he's forced to take a beautiful young woman, driving a fast sports car, hostage and slip into a cross-border sports car race to try to make it to Mexico before the police get him","Action, Crime, Drama, Thriller"
Return of the Kung Fu Dragon,1976,1322614,https://archive.org/download/Return_of_the_Kung_Fu_Dragon/Return_of_the_Kung_Fu_Dragon_archive.torrent,https://archive.org/services/img/Return_of_the_Kung_Fu_Dragon,"The complicated story involves the military conquest of a peaceful island-nation by an evil despot and his sorcerer ally. His victory leaves the island's three heroic protectors dead, but, their young children are hidden away to grow to adulthood with different identities, unaware of their heritage, in hope that, in time, they might challenge and defeat the evil ruler. The charming Polly Kuan stars as one of these children who has been adopted by the conquerer himself, initially as an insult to ","Action, Fantasy"
His Girl Friday,1940,1294532,https://archive.org/download/his_girl_friday/his_girl_friday_archive.torrent,https://image.tmdb.org/t/p/w780/lu86Y9zTPH3neCiUzLzHCEFHf7f.jpg,Hilarious romantic comedy starring Cary Grant and Rosalind Russell. Russell is rough and tumble reporter looking to get out of the news racket by marrying and becoming a house wife after her divorce from newspaper publisher Grant. Just when she is about to leave town with her husband-to-be the still lovesick Grant drafts her to cover one final breaking news sensation. Along with plenty of laughs and fast paced dialog this film provides a witty and cynical look at news business. There is a slight,"Comedy, Romance, Drama"
Voyage to the Planet of Prehistoric Women,1967,1145086,https://archive.org/download/VoyagetothePlanetofPrehistoricWomen/VoyagetothePlanetofPrehistoricWomen_archive.torrent,https://archive.org/services/img/VoyagetothePlanetofPrehistoricWomen,"A team of astronauts crashes on the surface of Venus. Accompanied by their robot, they explore the surface and end up destroying the Venusian God. This film is also known as 'The Gill Women' and 'The Gill Women of Venus'. This film began life as a Soviet-produced work. An American producer then added some new footage and changed the credits to hide the film's Soviet origin. The original film, 'Planeta Bur', is also known as 'Cosmonauts on Venus', 'Planet of Storms', 'Planet of Tempests', 'Planet","Adventure, Science Fiction"
House on Haunted Hill,1959,1024190,https://archive.org/download/house_on_haunted_hill_ipod/house_on_haunted_hill_ipod_archive.torrent,https://image.tmdb.org/t/p/w780/g5kdFt3piV3w1pG65W9sSToJ7HB.jpg,"Frederick Loren has invited five strangers to a party of a lifetime. He is offering each of them $10,000 if they can stay the night in a house.","Horror, Mystery"
Jungle Book,1942,1008223,https://archive.org/download/JungleBook/JungleBook_archive.torrent,https://image.tmdb.org/t/p/w780/zYkffyYCFO1Li1f20MyaAYUaYC4.jpg,"Teenaged Mowgli, who was raised by wolves, appears in a village in India and is adopted by Messua. Mowgli learns human language and some human ways quickly, though keeping jungle ideas. Influential Merchant Buldeo is bigoted against 'beasts' including Mowgli; not so Buldeo's pretty daughter, whom Mowgli takes on a jungle tour where they find a treasure, setting the evil of human greed in motion. Nominated for 4 Oscars. Another 2 wins","Adventure, Family, Fantasy"
Reefer Madness,1938,999193,https://archive.org/download/reefer_madness1938/reefer_madness1938_archive.torrent,https://image.tmdb.org/t/p/w780/pLEy5EpJ09ilda44HDxkrGOQsKl.jpg,"Considered THE archetypal sensationalized anti-drug movie, but it's really an exploitation film made to capitalize on the hot taboo subject of marijuana use. Like many exploitation films of the time, 'Reefer Madness' tried to make a quick buck off of a forbidden subject while skirting the Motion Picture Production Code of 1930. The Code forbade the portrayal of immoral acts like drug use. ( The illegal drug traffic must not be portrayed in such a way as to stimulate curiosity concerning the use ","Comedy, TV Movie"
Sita Sings the Blues,2008,935798,https://archive.org/download/Sita_Sings_the_Blues/Sita_Sings_the_Blues_archive.torrent,https://image.tmdb.org/t/p/w780/hrtW78FNfwFSiIetgey0cR8AT0g.jpg,"Sita is a goddess separated from her beloved Lord and husband Rama. Nina is an animator whose husband moves to India, then dumps her by email. Three hilarious shadow puppets narrate both ancient tragedy and modern comedy in this beautifully animated interpretation of the Indian epic Ramayana. Set to the 1920's jazz vocals of Annette Hanshaw, Sita Sings the Blues earns its tagline as 'the Greatest Break-Up Story Ever Told.'","Animation, Drama, Music, Romance, Fantasy"
Utopia,1951,927393,https://archive.org/download/utopia/utopia_archive.torrent,https://image.tmdb.org/t/p/w780/86XVqC144ERq5AVxmSmYhF9bmRw.jpg,Utopia (also known as Atoll K and Robinson Crusoe Land) is last film Laurel and Hardy made together. It was filmed and produced in Europe.,"Mystery, Thriller, Action, Science Fiction"
The Pied Piper of Hamelin,1957,926618,https://archive.org/download/The_Pied_Piper_of_Hamelin/The_Pied_Piper_of_Hamelin_archive.torrent,https://image.tmdb.org/t/p/w780/6IDkEN8l5vzS575RJw6KwgrAzTc.jpg,"Stars Van Johnson, Claude Rains, Jim Backus Tagline: 'Now! a giant color spectacle! from the pages of the immortal classics comes this famous story' Information regarding this film on its IMDb page . More information on Wikipedia .","Music, Fantasy, Comedy, TV Movie"
Escape From Sobibor,1987,910216,https://archive.org/download/Escape_From_Sobibor.avi/Escape_From_Sobibor.avi_archive.torrent,https://image.tmdb.org/t/p/w780/w3IGS3gAecPB5dNeQH4926S9PSi.jpg,Alan Arkin and Rutger Hauer star in this award winning movie about the successful mass escape of 300 prisoners from the Sobibor Nazi death camp. Fine acting and production values make this film a worthwhile viewing experience.,"Drama, Thriller, War, TV Movie"
Nazi Concentration Camps,1945,837699,https://archive.org/download/nazi_concentration_camps/nazi_concentration_camps_archive.torrent,https://image.tmdb.org/t/p/w780/ihhIITb37XmCPf6ST31fkToUjei.jpg,"**This film contains extremely graphic scenes of human suffering, please exercise caution when viewing.** Compilation footage of Nazi concentration camps in the immediate aftermath of World War II. The footage was gathered by the US Department of Defense as part of the effort to conduct war crimes trials. This copy was dubbed from a video copy at the National Archives in College Park, Maryland. National Archives Identifiers: ARC: 43452 NAIL: 238.2","Documentary, History, War"
Bloody Pit of Horror,1965,822331,https://archive.org/download/BloodyPitOfHorror/BloodyPitOfHorror_archive.torrent,https://image.tmdb.org/t/p/w780/xCBV9KEvgGx5CseJAaPt0r7zX9c.jpg,"A group of models and cameramen go to a castle to shoot covers for horror novels where they're captured and tortured by the castle's owner, the Crimson Executioner. Find out more about this film on it's IMDB page .",Horror
Abraham Lincoln,1930,814092,https://archive.org/download/abraham_lincoln/abraham_lincoln_archive.torrent,https://image.tmdb.org/t/p/w780/4BOmqevJBC5gBfQNXpa2epf27yO.jpg,A biography of the beloved United States president by D. W. Griffith. You can find more information regarding this film on its IMDb page .,"Action, Fantasy, Horror"
Dressed To Kill,1946,790710,https://archive.org/download/dressed_to_kill/dressed_to_kill_archive.torrent,https://image.tmdb.org/t/p/w780/oD4z3ON2ciLMv6obEH2K8tGThWG.jpg,Aka 'Sherlock Holmes in Dressed To Kill' - features Basil Rathbone as Sherlock Holmes. You can find more information regarding this film on its IMDb page .,"Thriller, Mystery, Horror"
Diary of a Nudist,1961,764510,https://archive.org/download/DiaryofaNudist/DiaryofaNudist_archive.torrent,https://image.tmdb.org/t/p/w780/sMXPq4JsJLfDzyNcoudObnlDb8r.jpg,"The Film follows a reporter (Davee Decker) as she infiltrates a nudist colony in the hopes of exposing its immoral ways. However, once there, she finds herself enjoying it a little bit more than she anticipated. This Film was extremely controversial in 1961 today, films like this are considered to be curiosity pieces.",Drama
The Child Molester (1964),0,760093,https://archive.org/download/CHILD/CHILD_archive.torrent,https://archive.org/services/img/CHILD,"Produced by the Highway Safety Foundation in 1964, this shocking film deals with a subject quite taboo for its time. The short serves as a dramatized warning, ending with graphic case studies. Unlike the driver's education films produced by the same company, this film was apparently issued for only a short time before being withdrawn. **CONTENT ADVISORY: Crime scene footage at end will upset some people**",
Three Stooges Episodes,0,747639,https://archive.org/download/3stooges/3stooges_archive.torrent,https://archive.org/services/img/3stooges,4 Episodes Of The 3 Stooges. Downloads include: Disorder In The Court Brideless Groom Sing A Song Of Six Pants Malice In The Palace,
Suddenly,1954,730788,https://archive.org/download/suddenly/suddenly_archive.torrent,https://image.tmdb.org/t/p/w780/v0eQfRMVJtvEkaJjBsSrd6ri1UI.jpg,"'Three gunmen, who have been hired to assassinate the President, hold a family hostage while waiting for their target. Interesting B film which focuses on psychopathic killer well-portrayed against type by Frank Sinatra.' - noir expert Spencer Selby | Cast: Frank Sinatra, Sterling Hayden, James Gleason, Nancy Gates. 77 min.","Drama, TV Movie"
Recurring Dinosaur Infestation Films,0,686153,https://archive.org/download/RecurringDinosaurInfestationFilms/RecurringDinosaurInfestationFilms_archive.torrent,https://archive.org/services/img/RecurringDinosaurInfestationFilms,A collection of large dinosaur films.,
The Stranger,1946,653959,https://archive.org/download/TheStranger_0/TheStranger_0_archive.torrent,https://image.tmdb.org/t/p/w780/bzjoPScBLUWpSu10m3GbSbSwVhS.jpg,"Set Connecticut after World War II, The Stranger is a cat and mouse game between Wilson (Edward G. Robinson), a member of the Allied War Crimes Commission and Franz Kindler (Orson Welles), a Nazi who has assumed the false identity of Dr. Charles Rankin. To complete his new intelligentsia disguise, Kindler marries Mary Longstreet, daughter of a Supreme Court justice.","Adventure, Action, Fantasy"
Tarzan's Revenge,1938,652452,https://archive.org/download/tarzans_revenge/tarzans_revenge_archive.torrent,https://image.tmdb.org/t/p/w780/52wnUGl9hoIKBfb77TQtMCRWk5S.jpg,You can find more information regarding this film on its IMDb page .,"Action, Adventure, Comedy, Family, Romance"
McLintock!,1963,643721,https://archive.org/download/mclintok_widescreen/mclintok_widescreen_archive.torrent,https://image.tmdb.org/t/p/w780/gjaAtWJqGomsE5qNQStHcHhSzES.jpg,John Wayne Comedy Western filmed in widescreeen.,"Western, Comedy"
Mclintock,1963,637997,https://archive.org/download/Mclintock.avi/Mclintock.avi_archive.torrent,https://image.tmdb.org/t/p/w780/gjaAtWJqGomsE5qNQStHcHhSzES.jpg,"This great comedy western stars John Wayne,Maureen O'Hara,Patrick Wayne, Stefanie Powers,Chill Wills, and Strother Marten. There is a hilarious mudhole fight scene at the end.","Western, Comedy"
My Favorite Brunette,1947,634953,https://archive.org/download/my_favorite_brunette/my_favorite_brunette_archive.torrent,https://image.tmdb.org/t/p/w780/tTI4QFLQirmIw6YLR5kRAKyDKvv.jpg,Bob Hope comedy with Dorothy Lamour. | You can find more information regarding this film on its IMDb page .,"Comedy, Mystery, Romance"
Gulliver's Travels,1939,621460,https://archive.org/download/gullivers_travels1939/gullivers_travels1939_archive.torrent,https://image.tmdb.org/t/p/w780/fiwAJIAnSqWbU3JphqN8Y80mFM6.jpg,You can find more information regarding this film on its IMDb page .,"Family, Comedy, Adventure, Fantasy"
The Phantom of the Opera,1925,619336,https://archive.org/download/ThePhantomoftheOpera/ThePhantomoftheOpera_archive.torrent,https://image.tmdb.org/t/p/w780/mvaYpAYj957C2tlq3vVJPSzGJXK.jpg,"At the Opera of Paris, a mysterious phantom threatens a famous lyric singer, Carlotta and thus forces her to give up her role (Marguerite in Faust) for unknown Christine Daae. Christine meets this phantom (a masked man) in the catacombs, where he lives.","Thriller, Drama, Romance"
"20,000 Leagues Under the Sea",1916,606264,https://archive.org/download/20000LeaguesUndertheSea/20000LeaguesUndertheSea_archive.torrent,https://image.tmdb.org/t/p/w780/edY5eDCC08OUKjS0k7zWUxYM9BB.jpg,"The Universal Film Manufacturing Company was not known in the silent era as premier producer of motion pictures. Yet, in 1916 they produced a film that could not be made effectively without expensive special effects and special photography. The novel had previously been made as short films in 1907 by Georges MÃÂ©liÃÂ¨s and in 1913 by French company ÃÂclair.) Marshalling the expertise underwater experts Ernest and George Williamson, Universal financed the extensive production which would require ","Adventure, Science Fiction, Fantasy"
The House On Haunted Hill,1959,602950,https://archive.org/download/House_On_Haunted_Hill.avi/House_On_Haunted_Hill.avi_archive.torrent,https://archive.org/services/img/House_On_Haunted_Hill.avi,"Vincent Price gives a stellar performance as the suavely malevolent host of a 'haunted house party' who offers his guests $10,000 if they can survive a night in the murderous mansion. Watch for the great Elisha Cook Jr,(he played Wilmer in the 'Maltese Falcon') as the groveling homeowner. The eerie looking home used for the exterior shots is the Ennis Brown house in Los Angeles, designed by Frank Lloyd Wright and built in 1924. It was later used in the films 'Blade Runner', 'Black Rain', and 'Ro","Horror, Mystery, Thriller"
