title,releaseYear,genre
House on Haunted Hill,1959,"Horror, Thriller, Ghost"
His Girl Friday,1940,"Comedy Of Remarriage, Comedy Drama, Drama"
Reefer Madness,1938,"Exploitation, Drama, Propaganda"
Public Domain Movies,,
Abraham Lincoln,1930,
Nazi Concentration Camps,1945,Documentary
CUKESIM's New Job! ( Charles Chaplin-1915),,
The Child Molester (1964),,
Bloody Pit of Horror,1965,"Thrash Metal, Groove Metal, Doom Metal"
Suddenly,1954,
The Phantom of the Opera,1925,
Gulliver's Travels,1939,"Political Satire, Fantasy, Nautical Fiction"
Dressed To Kill,1946,"Neo-Noir, Horror, Erotic Thriller"
"20,000 Leagues Under the Sea",1916,"Science Fiction, Nautical Fiction, Scientific Romance"
Beat the Devil (1953),,Action Game
Recurring Dinosaur Infestation Films,,
My Favorite Brunette,1947,"Romantic Comedy, Film Noir"
Grave of the Vampire,1974,"Horror, Vampire"
Scarlet Street,1945,"Crime, Drama, Film Noir"
The Lost World,1925,"Fantasy Television Series, Adventure Television Series"
Impact,1949,
Meet John Doe,1941,"Romantic Comedy, Comedy Drama, Christmas"
The Flying Deuces,1939,"Comedy, Buddy"
"Little Princess, The",1939,
The Iron Mask,1929,"Drama, Silent, Swashbuckler"
Cosmos: War of the Planets,1977,"Science Fiction, Adventure"
Horror Express,1973,"Horror, Science Fiction, Mystery"
Quicksand,1950,"Action Game, Casual Game"
DOUBLE FEATURE HELL 2 (the grindhouse experience).,,
"The Three Stooges - ""Color Craziness"" ""Color Craziness"" - The Three Stooges",,
Carnival of Souls,1962,
Mr. Robinson Crusoe,1932,"Adventure, Comedy"
Penny Serenade,1941,Romantic Drama
Santa Fe Trail,1940,
Horror Express,1976,"Horror, Science Fiction, Mystery"
Great Expectations (1946),,"Black Comedy, Bildungsroman"
War of the Wildcats - John Wayne (1943),1943,
Frankenstein,1910,
Detour,1945,Cantopop
Inner Sanctum,1948,"Synth-Pop, Dance-Pop"
Africa Screams,1949,Comedy
Angel on My Shoulder,1946,Fantasy
Calendar Girl,1948,Brill Building
Triumph of the Will (German: Triumph des Willens),,"Documentary, Propaganda"
Sword of Lancelot,1963,"Adventure, Fantasy, Romance"
Star Wreck: In the Pirkining,2005,
1968 Weg zum Nachbarn (Way to the Neighbour),1968,
City of the Dead/Horror Hotel,1960,
Rockstar ( 2011),2011,
Please Murder Me,1956,
Planet Outlaws,1953,
"Adı Vasfiye, Turkish Movie",1985,
DOUBLE FEATURE HELL 6 (Grindhouse 2),,
"Charlie Chaplin's ""Tillies Punctured Romance""",1914,
"Charlie Chaplin's ""Kids Auto Race At Venice""",1914,
Angel and the Badman,1947,"Western, Romance"
